test_date,address_full,lead_ppb,copper_ppb
2016-01-29 12:43:28,"110 E YORK AVE,FLINT,48505",0,90
2016-01-29 12:41:47,"966 PERRY ST,FLINT,48504",0,90
2016-01-29 12:41:29,"5605 CLOVERLAWN DR,FLINT,48504",0,90
2016-01-29 12:41:24,"2301 BROOKSIDE DR,FLINT,48503",0,90
2016-01-29 12:41:05,"1448 S DYE RD,FLINT,48532",0,90
2016-01-28 13:38:00,"438 E ATHERTON RD,FLINT,48507",0,90
2016-01-28 13:06:59,"5149 MERIT DR,FLINT,48506",0,90
2016-01-27 14:11:19,"4041 FRASER ST,FLINT,48532",0,90
2016-01-27 14:10:26,"3502 DONNELLY STREET,FLINT,48504",0,90
2016-01-27 13:57:48,"3900 HAMMERBERG RD #242,,",0,90
2016-01-27 13:15:02,"5406 DUPONT ST,FLINT,48505",0,90
2016-01-27 13:10:29,"3900 HAMMERBERG RD #118,FLINT,48505",0,90
2016-01-27 13:10:04,"1209 EL DORADO DR,FLINT,48504",0,90
2016-01-27 13:09:06,"3826 CLAIRMONT ST,FLINT,48532",0,90
2016-01-27 13:07:33,"3429 RANGELEY ST,FLINT,48503",0,90
2016-01-27 13:07:32,"3900 HAMMERBERG RD OFC 124,FLINT,48507",0,90
2016-01-27 13:06:49,"3900 HAMMERBERG RD OFC 323,FLINT,48507",0,90
2016-01-27 13:06:40,"3900 HAMMERBERG RD OFC,FLINT,48507",0,90
2016-01-27 13:06:11,"1012 FREMON ST,FLINT,48504",0,90
2016-01-27 13:01:42,"3206 MENOMINEE AVE,FLINT,48507",0,90
2016-01-26 13:57:32,"1801 BAYBERRY LN,FLINT,48507",0,90
2016-01-26 13:46:14,"3614 HUGGINS AVE,FLINT,48506",0,90
2016-01-26 12:24:34,"1314 LINCOLN AVE,FLINT,48507",0,90
2016-01-26 12:24:30,"3316 MENOMINEE ST,BURTON,48529",0,90
2016-01-26 12:22:26,"2250 NOLEN DR,FLINT,48504",0,90
2016-01-26 12:22:24,"419 EDGEMONT AVE,FLINT,",0,90
2016-01-26 12:22:14,"3713 BRIARWOOD DR,FLINT,48507",0,90
2016-01-26 12:21:26,"3116 BROWNELL BLVD,FLINT,48504",0,90
2016-01-26 12:19:20,"1819 CHELSEA CIRCLE,FLINT,48503",0,90
2016-01-26 12:18:59,"2553 TYRONE ST,,48504",0,90
2016-01-25 13:49:53,"2201 PINE CT,FLINT,48504",0,90
2016-01-25 13:49:28,"5309 EDWARDS AVE,FLINT,",0,90
2016-01-25 13:49:00,"1412 S BALLENGER HWY,FLINT,48532",0,90
2016-01-25 13:05:37,"917 MILLBROOK DR APT B,FLINT,48503",0,90
2016-01-25 13:03:14,"3713 RISEDORPH AVE,FLINT,48506",0,90
2016-01-25 13:01:57,"3100 LAKEWOOD DR,FLINT,48507",0,90
2016-01-25 12:59:33,"3118 CHEROKEE AVE,FLINT,48507",0,90
2016-01-25 12:59:26,"2305 CRESTBROOK LN,FLINT,48507",0,90
2016-01-25 12:59:18,"515 ALVORD AVE,FLINT,48507",0,90
2016-01-25 12:59:11,"1406 BLUEBERRY LN,FLINT,48507",0,90
2016-01-25 12:58:32,"549 BUCKINGHAM AVE,FLINT,48507",0,90
2016-01-24 12:13:55,"5282 CEDAR SHORE #102,FLINT,48504",0,90
